Start(s),Pitch(Hz),Probability[0-1.0],Source
11.19202,122.18493,0.94577,TARSOS_YIN
11.21524,133.513,0.93362,TARSOS_YIN
11.23846,145.65321,0.95848,TARSOS_YIN
11.26168,154.55307,0.9639,TARSOS_YIN
11.2849,160.30688,0.88921,TARSOS_YIN
11.30812,162.69299,0.85092,TARSOS_YIN
11.33134,157.71651,0.97772,TARSOS_YIN
11.35456,157.41876,0.98191,TARSOS_YIN
11.37778,157.7619,0.98596,TARSOS_YIN
11.401,156.28336,0.99191,TARSOS_YIN
11.42422,156.38011,0.98732,TARSOS_YIN
11.44744,157.35789,0.99338,TARSOS_YIN
11.47066,156.707,0.99523,TARSOS_YIN
11.49388,155.5719,0.99764,TARSOS_YIN
11.5171,150.45004,0.9348,TARSOS_YIN
11.56354,128.35497,0.881,TARSOS_YIN
11.58676,113.74552,0.93242,TARSOS_YIN
11.60998,122.22796,0.91317,TARSOS_YIN
11.6332,144.20628,0.90189,TARSOS_YIN
11.65642,155.04889,0.96041,TARSOS_YIN
11.67964,160.98927,0.98845,TARSOS_YIN
11.70286,162.48103,0.9952,TARSOS_YIN
11.72608,161.33197,0.99607,TARSOS_YIN
11.7493,159.7122,0.99008,TARSOS_YIN
11.77252,158.17067,0.99443,TARSOS_YIN
11.79574,159.78693,0.81836,TARSOS_YIN
11.81896,160.23878,0.98891,TARSOS_YIN
11.84218,159.51852,0.99313,TARSOS_YIN
11.8654,158.08488,0.99641,TARSOS_YIN
11.88862,158.61725,0.99506,TARSOS_YIN
11.91184,160.19766,0.98735,TARSOS_YIN
11.93506,162.20596,0.9974,TARSOS_YIN
11.95828,161.94196,0.99825,TARSOS_YIN
11.9815,160.38669,0.99589,TARSOS_YIN
12.00472,158.54802,0.99099,TARSOS_YIN
12.02794,158.97081,0.93777,TARSOS_YIN
12.05116,158.48021,0.98432,TARSOS_YIN
12.07438,157.82066,0.99561,TARSOS_YIN
12.0976,160.1208,0.99512,TARSOS_YIN
12.12082,160.99933,0.99841,TARSOS_YIN
12.14404,160.96597,0.9974,TARSOS_YIN
12.16726,160.89006,0.99731,TARSOS_YIN
12.19048,162.81853,0.99781,TARSOS_YIN
12.2137,162.53075,0.99801,TARSOS_YIN
12.23692,161.08142,0.9969,TARSOS_YIN
12.26014,160.58638,0.99472,TARSOS_YIN
12.28336,159.22552,0.92886,TARSOS_YIN
12.30658,157.1911,0.98285,TARSOS_YIN
12.3298,156.74902,0.99255,TARSOS_YIN
12.35302,153.75389,0.95969,TARSOS_YIN
12.37624,144.41151,0.91275,TARSOS_YIN
12.39946,134.24641,0.96719,TARSOS_YIN
12.42268,140.10046,0.95142,TARSOS_YIN
12.4459,156.37721,0.90668,TARSOS_YIN
12.46912,188.83441,0.92104,TARSOS_YIN
12.49234,209.40982,0.93723,TARSOS_YIN
12.51556,210.08124,0.85594,TARSOS_YIN
12.53878,207.05357,0.96561,TARSOS_YIN
12.562,200.59213,0.98902,TARSOS_YIN
12.58522,195.07777,0.98867,TARSOS_YIN
12.60844,190.11073,0.99387,TARSOS_YIN
12.63166,191.21223,0.99175,TARSOS_YIN
12.65488,194.52782,0.99157,TARSOS_YIN
12.67809,195.43343,0.99836,TARSOS_YIN
12.70131,195.58208,0.99823,TARSOS_YIN
12.72453,196.05826,0.99872,TARSOS_YIN
12.74776,195.88232,0.81502,TARSOS_YIN
12.77098,194.72441,0.94822,TARSOS_YIN
12.7942,195.54959,0.99608,TARSOS_YIN
12.81742,194.36018,0.99705,TARSOS_YIN
12.84064,193.98642,0.99732,TARSOS_YIN
12.86385,194.61687,0.9974,TARSOS_YIN
12.88707,195.00845,0.99824,TARSOS_YIN
12.91029,195.8878,0.99925,TARSOS_YIN
12.93351,195.8445,0.9981,TARSOS_YIN
12.95673,194.85883,0.9977,TARSOS_YIN
