Start(s),Pitch(Hz),Probability[0-1.0],Source
0.16254,210.65016,0.88803,TARSOS_YIN
0.18576,217.26836,0.9553,TARSOS_YIN
0.20898,218.5784,0.98876,TARSOS_YIN
0.2322,217.14691,0.9847,TARSOS_YIN
0.25542,215.33029,0.95713,TARSOS_YIN
0.4644,255.8526,0.96622,TARSOS_YIN
0.48762,264.77734,0.9747,TARSOS_YIN
0.51084,277.80652,0.96431,TARSOS_YIN
0.53406,294.9538,0.94809,TARSOS_YIN
0.55728,317.83411,0.96174,TARSOS_YIN
0.5805,324.05405,0.86599,TARSOS_YIN
0.74304,312.88251,0.91172,TARSOS_YIN
0.76626,303.03012,0.99666,TARSOS_YIN
0.78948,301.98596,0.9953,TARSOS_YIN
0.8127,304.11917,0.98545,TARSOS_YIN
0.83592,307.13144,0.98915,TARSOS_YIN
0.85914,307.23981,0.97768,TARSOS_YIN
0.88236,301.92694,0.94862,TARSOS_YIN
0.90558,310.48004,0.94985,TARSOS_YIN
0.9288,311.06406,0.97619,TARSOS_YIN
0.95202,302.05316,0.99303,TARSOS_YIN
0.97524,292.34332,0.97466,TARSOS_YIN
0.99846,281.88065,0.99161,TARSOS_YIN
1.02168,285.04965,0.9887,TARSOS_YIN
1.0449,286.56952,0.99874,TARSOS_YIN
1.06812,283.6127,0.99871,TARSOS_YIN
1.09134,282.15808,0.9989,TARSOS_YIN
1.11456,281.29425,0.99911,TARSOS_YIN
1.13778,281.98712,0.99911,TARSOS_YIN
1.161,282.71432,0.9994,TARSOS_YIN
1.18422,282.80664,0.99918,TARSOS_YIN
1.20744,283.65811,0.99852,TARSOS_YIN
1.23066,285.48645,0.99806,TARSOS_YIN
1.25388,282.45789,0.99741,TARSOS_YIN
1.2771,274.82965,0.99035,TARSOS_YIN
1.30032,257.81848,0.97142,TARSOS_YIN
1.32354,258.79358,0.85776,TARSOS_YIN
1.34676,234.60956,0.97749,TARSOS_YIN
1.36998,237.5092,0.97628,TARSOS_YIN
1.3932,242.90874,0.98242,TARSOS_YIN
1.41642,245.90259,0.98877,TARSOS_YIN
1.43964,246.55673,0.99622,TARSOS_YIN
1.46286,246.6203,0.98701,TARSOS_YIN
1.48608,231.65514,0.88269,TARSOS_YIN
1.5093,227.97124,0.9367,TARSOS_YIN
1.53252,244.47302,0.93911,TARSOS_YIN
1.55574,248.16319,0.89067,TARSOS_YIN
1.57896,255.27406,0.81319,TARSOS_YIN
1.60218,255.96001,0.98918,TARSOS_YIN
1.6254,246.81476,0.98362,TARSOS_YIN
1.64862,237.4585,0.99716,TARSOS_YIN
1.67184,254.62547,0.91945,TARSOS_YIN
1.69506,260.10727,0.99377,TARSOS_YIN
1.71828,256.84317,0.99561,TARSOS_YIN
1.7415,254.7056,0.99763,TARSOS_YIN
1.76472,249.77792,0.99747,TARSOS_YIN
1.78794,243.91982,0.9964,TARSOS_YIN
1.81116,236.77852,0.99263,TARSOS_YIN
1.83438,227.57539,0.98941,TARSOS_YIN
1.8576,224.47006,0.99846,TARSOS_YIN
1.88082,219.4299,0.99593,TARSOS_YIN
1.90404,206.45695,0.98278,TARSOS_YIN
1.92726,197.4805,0.9571,TARSOS_YIN
1.95048,215.30551,0.90815,TARSOS_YIN
1.9737,220.99461,0.98477,TARSOS_YIN
1.99692,220.98169,0.98769,TARSOS_YIN
2.02014,218.32538,0.93324,TARSOS_YIN
2.04336,209.96809,0.98979,TARSOS_YIN
2.06658,211.77672,0.9971,TARSOS_YIN
2.0898,213.9727,0.99811,TARSOS_YIN
2.11302,217.63782,0.99852,TARSOS_YIN
2.13624,215.87619,0.99768,TARSOS_YIN
2.15946,213.53204,0.99748,TARSOS_YIN
2.18268,211.08405,0.99854,TARSOS_YIN
2.2059,214.80696,0.92339,TARSOS_YIN
2.22912,216.44626,0.97877,TARSOS_YIN
2.25234,216.34534,0.99101,TARSOS_YIN
2.27556,216.21358,0.99557,TARSOS_YIN
2.29878,216.93715,0.9914,TARSOS_YIN
2.322,219.37878,0.98734,TARSOS_YIN
2.34522,213.41769,0.97188,TARSOS_YIN
2.36844,216.28873,0.99696,TARSOS_YIN
2.39166,219.54601,0.99773,TARSOS_YIN
2.41488,219.67223,0.96706,TARSOS_YIN
2.50776,209.14424,0.87917,TARSOS_YIN
2.53098,204.31352,0.9422,TARSOS_YIN
2.55419,206.1729,0.98763,TARSOS_YIN
2.57741,209.36035,0.93385,TARSOS_YIN
2.60063,215.73233,0.98344,TARSOS_YIN
2.62385,220.96365,0.98144,TARSOS_YIN
2.64707,218.65578,0.97995,TARSOS_YIN
2.67029,221.27034,0.99891,TARSOS_YIN
2.69351,223.71834,0.999,TARSOS_YIN
2.71673,224.46758,0.99884,TARSOS_YIN
2.73995,228.52304,0.99795,TARSOS_YIN
2.76317,231.772,0.99611,TARSOS_YIN
2.78639,251.06285,0.8921,TARSOS_YIN
2.80961,266.17776,0.9938,TARSOS_YIN
2.83283,258.97394,0.98469,TARSOS_YIN
2.85605,253.38713,0.99192,TARSOS_YIN
2.87927,248.97484,0.99209,TARSOS_YIN
2.90249,246.38942,0.99082,TARSOS_YIN
2.92571,251.29234,0.99166,TARSOS_YIN
2.94893,250.84117,0.96244,TARSOS_YIN
3.06503,207.5545,0.84678,TARSOS_YIN
3.08825,205.05165,0.97395,TARSOS_YIN
3.11147,208.06953,0.97163,TARSOS_YIN
3.13469,213.30992,0.97927,TARSOS_YIN
3.15791,213.95213,0.97672,TARSOS_YIN
3.18113,209.2296,0.972,TARSOS_YIN
3.20435,208.41124,0.99144,TARSOS_YIN
3.22757,209.32623,0.96993,TARSOS_YIN
3.25079,215.44417,0.96208,TARSOS_YIN
3.27401,219.49171,0.98221,TARSOS_YIN
3.29723,217.58337,0.97954,TARSOS_YIN
3.34367,251.35078,0.98663,TARSOS_YIN
3.36689,249.63557,0.98288,TARSOS_YIN
3.39011,247.65761,0.99599,TARSOS_YIN
3.41333,248.76294,0.99451,TARSOS_YIN
3.43655,249.57907,0.99169,TARSOS_YIN
3.45977,271.5289,0.81732,TARSOS_YIN
3.64553,285.38806,0.93919,TARSOS_YIN
3.66875,278.08423,0.99867,TARSOS_YIN
3.69197,278.39868,0.99851,TARSOS_YIN
3.71519,278.94315,0.99882,TARSOS_YIN
3.73841,277.45074,0.99884,TARSOS_YIN
3.76163,278.22699,0.99676,TARSOS_YIN
3.78485,283.12292,0.98177,TARSOS_YIN
3.80807,293.68674,0.96197,TARSOS_YIN
3.97061,297.97229,0.95653,TARSOS_YIN
3.99383,298.70432,0.99343,TARSOS_YIN
4.01705,301.22174,0.99517,TARSOS_YIN
4.04027,302.44299,0.99241,TARSOS_YIN
4.06349,302.91388,0.99562,TARSOS_YIN
4.08671,300.84619,0.99657,TARSOS_YIN
4.10993,298.15533,0.9972,TARSOS_YIN
4.13315,295.63721,0.99554,TARSOS_YIN
4.15637,292.18701,0.99735,TARSOS_YIN
4.17959,290.95822,0.99704,TARSOS_YIN
4.20281,291.23538,0.99744,TARSOS_YIN
4.22603,295.22971,0.99703,TARSOS_YIN
4.24925,300.29489,0.99698,TARSOS_YIN
4.27247,300.38455,0.9982,TARSOS_YIN
4.29569,298.62775,0.99776,TARSOS_YIN
4.31891,297.17709,0.99848,TARSOS_YIN
4.34213,296.72025,0.99683,TARSOS_YIN
4.36535,296.02728,0.99714,TARSOS_YIN
4.38857,294.34265,0.99259,TARSOS_YIN
4.41179,299.1713,0.99676,TARSOS_YIN
4.43501,300.58871,0.99721,TARSOS_YIN
4.45823,296.45795,0.99811,TARSOS_YIN
4.48145,295.79831,0.99904,TARSOS_YIN
4.50467,293.23834,0.96519,TARSOS_YIN
4.59755,315.2471,0.92391,TARSOS_YIN
4.62077,316.5741,0.99864,TARSOS_YIN
4.64399,314.00522,0.99855,TARSOS_YIN
4.66721,309.59033,0.99764,TARSOS_YIN
4.69043,306.23602,0.99835,TARSOS_YIN
4.71365,301.7019,0.99561,TARSOS_YIN
4.73687,281.02988,0.98805,TARSOS_YIN
4.76009,282.21805,0.99854,TARSOS_YIN
4.78331,282.20566,0.99959,TARSOS_YIN
4.80653,284.05234,0.99402,TARSOS_YIN
4.82975,305.93671,0.93,TARSOS_YIN
4.85297,315.02658,0.83098,TARSOS_YIN
5.15483,280.17245,0.93474,TARSOS_YIN
5.17805,262.03644,0.98469,TARSOS_YIN
5.20127,267.75281,0.88395,TARSOS_YIN
5.22449,294.87714,0.98818,TARSOS_YIN
5.24771,295.59848,0.99807,TARSOS_YIN
5.27093,299.22415,0.99704,TARSOS_YIN
5.29415,300.1427,0.9982,TARSOS_YIN
5.31737,297.10333,0.99676,TARSOS_YIN
5.34059,297.14697,0.99675,TARSOS_YIN
5.36381,296.59616,0.99715,TARSOS_YIN
5.38703,294.66962,0.99673,TARSOS_YIN
5.41025,292.34888,0.99796,TARSOS_YIN
5.43347,292.09744,0.99828,TARSOS_YIN
5.45669,292.51837,0.99849,TARSOS_YIN
5.47991,293.52515,0.99916,TARSOS_YIN
5.50313,296.67468,0.99771,TARSOS_YIN
5.52635,300.55182,0.99544,TARSOS_YIN
5.54957,299.90808,0.99735,TARSOS_YIN
5.57279,297.87247,0.99666,TARSOS_YIN
5.59601,296.35724,0.99735,TARSOS_YIN
5.61923,298.46356,0.9975,TARSOS_YIN
5.64245,297.41006,0.99654,TARSOS_YIN
5.66567,284.04364,0.89493,TARSOS_YIN
5.68889,294.5932,0.83422,TARSOS_YIN
5.71211,291.93964,0.9305,TARSOS_YIN
5.73533,289.65906,0.98533,TARSOS_YIN
5.75855,281.89102,0.99354,TARSOS_YIN
5.78177,276.56393,0.98322,TARSOS_YIN
5.80499,301.16309,0.92449,TARSOS_YIN
5.82821,324.31479,0.83234,TARSOS_YIN
5.85143,289.84485,0.99014,TARSOS_YIN
5.87465,283.79422,0.97894,TARSOS_YIN
5.89787,274.3244,0.98335,TARSOS_YIN
5.92109,256.56039,0.92307,TARSOS_YIN
6.15329,253.1936,0.81581,TARSOS_YIN
6.17651,247.45477,0.96834,TARSOS_YIN
6.19973,244.08534,0.9919,TARSOS_YIN
6.22295,242.7863,0.97994,TARSOS_YIN
6.24617,234.40224,0.90272,TARSOS_YIN
6.31583,229.11444,0.87948,TARSOS_YIN
6.33905,211.20747,0.97204,TARSOS_YIN
