Start(s),Pitch(Hz),Probability[0-1.0],Source
0.37152,136.92603,0.82049,TARSOS_YIN
0.39474,140.53264,0.91491,TARSOS_YIN
0.41796,142.67604,0.94956,TARSOS_YIN
0.44118,144.55963,0.93807,TARSOS_YIN
0.4644,146.57243,0.94545,TARSOS_YIN
0.48762,147.05574,0.95063,TARSOS_YIN
0.51084,148.62888,0.93207,TARSOS_YIN
0.53406,150.19948,0.95393,TARSOS_YIN
0.55728,151.91417,0.9193,TARSOS_YIN
0.65016,156.40102,0.85949,TARSOS_YIN
0.67338,155.64456,0.95273,TARSOS_YIN
0.6966,155.1693,0.98363,TARSOS_YIN
0.71982,156.45424,0.98648,TARSOS_YIN
0.74304,158.11234,0.97959,TARSOS_YIN
0.76626,159.6028,0.9887,TARSOS_YIN
0.78948,159.19479,0.99163,TARSOS_YIN
0.8127,157.98019,0.98281,TARSOS_YIN
0.83592,155.92978,0.97997,TARSOS_YIN
0.85914,155.24318,0.98763,TARSOS_YIN
0.88236,155.5573,0.98911,TARSOS_YIN
0.90558,155.68549,0.98507,TARSOS_YIN
0.9288,156.72443,0.97581,TARSOS_YIN
0.95202,156.82178,0.98655,TARSOS_YIN
0.97524,156.10239,0.99039,TARSOS_YIN
0.99846,155.5444,0.98926,TARSOS_YIN
1.02168,156.00374,0.97746,TARSOS_YIN
1.0449,157.66983,0.98751,TARSOS_YIN
1.06812,157.36571,0.99049,TARSOS_YIN
1.09134,156.88129,0.99423,TARSOS_YIN
1.11456,156.12152,0.9711,TARSOS_YIN
1.13778,155.32584,0.96808,TARSOS_YIN
1.161,156.31372,0.98544,TARSOS_YIN
1.18422,157.38371,0.98536,TARSOS_YIN
1.20744,158.0376,0.98954,TARSOS_YIN
1.23066,157.54521,0.99141,TARSOS_YIN
1.25388,156.5029,0.9846,TARSOS_YIN
1.2771,154.67149,0.96707,TARSOS_YIN
1.30032,153.29309,0.97175,TARSOS_YIN
1.32354,153.50467,0.979,TARSOS_YIN
1.34676,153.90411,0.97889,TARSOS_YIN
1.36998,154.62819,0.98797,TARSOS_YIN
1.3932,155.36871,0.98218,TARSOS_YIN
1.41642,156.4366,0.97211,TARSOS_YIN
1.43964,158.3815,0.97527,TARSOS_YIN
1.46286,158.78076,0.98464,TARSOS_YIN
1.48608,158.73813,0.98759,TARSOS_YIN
1.5093,157.85835,0.98498,TARSOS_YIN
1.53252,157.72595,0.98314,TARSOS_YIN
1.55574,159.15535,0.99259,TARSOS_YIN
1.57896,159.89923,0.97254,TARSOS_YIN
1.60218,158.63185,0.96517,TARSOS_YIN
1.6254,156.17003,0.95907,TARSOS_YIN
1.64862,156.10854,0.9341,TARSOS_YIN
1.67184,154.78253,0.83518,TARSOS_YIN
1.69506,310.80927,0.82102,TARSOS_YIN
1.71828,291.05215,0.85166,TARSOS_YIN
1.7415,148.97078,0.82694,TARSOS_YIN
1.76472,165.25348,0.83594,TARSOS_YIN
1.78794,174.32491,0.94776,TARSOS_YIN
1.81116,185.25594,0.85117,TARSOS_YIN
1.83438,191.23514,0.94596,TARSOS_YIN
1.8576,194.73157,0.9744,TARSOS_YIN
1.88082,194.79601,0.98605,TARSOS_YIN
1.90404,193.23537,0.98981,TARSOS_YIN
1.92726,194.95995,0.98903,TARSOS_YIN
1.95048,196.2462,0.99218,TARSOS_YIN
1.9737,196.28847,0.98913,TARSOS_YIN
1.99692,197.83282,0.99393,TARSOS_YIN
2.02014,196.94653,0.99221,TARSOS_YIN
2.04336,195.63275,0.98785,TARSOS_YIN
2.06658,194.14745,0.98192,TARSOS_YIN
2.0898,193.76918,0.97185,TARSOS_YIN
2.11302,193.76694,0.98971,TARSOS_YIN
2.13624,193.89687,0.98861,TARSOS_YIN
2.15946,193.51283,0.98967,TARSOS_YIN
2.18268,194.59993,0.99108,TARSOS_YIN
2.2059,194.27605,0.99214,TARSOS_YIN
2.22912,194.09366,0.99263,TARSOS_YIN
2.25234,195.28574,0.9921,TARSOS_YIN
2.27556,195.38602,0.9954,TARSOS_YIN
2.29878,194.2935,0.99534,TARSOS_YIN
2.322,195.27484,0.99042,TARSOS_YIN
2.34522,197.3134,0.98896,TARSOS_YIN
2.36844,199.12793,0.99038,TARSOS_YIN
2.39166,198.98615,0.99339,TARSOS_YIN
2.4381,192.68452,0.99102,TARSOS_YIN
2.46132,194.20204,0.99249,TARSOS_YIN
2.48454,195.64046,0.99242,TARSOS_YIN
2.50776,197.20227,0.98288,TARSOS_YIN
2.53098,198.64972,0.98778,TARSOS_YIN
2.55419,199.39072,0.99094,TARSOS_YIN
2.62385,197.17767,0.99066,TARSOS_YIN
2.64707,197.28998,0.99019,TARSOS_YIN
2.67029,198.45157,0.98457,TARSOS_YIN
2.69351,199.70013,0.99214,TARSOS_YIN
2.71673,199.4489,0.99475,TARSOS_YIN
2.73995,296.74765,0.80986,TARSOS_YIN
2.78639,196.30215,0.98908,TARSOS_YIN
2.80961,196.78902,0.98981,TARSOS_YIN
2.83283,200.72575,0.97654,TARSOS_YIN
2.85605,202.37877,0.94774,TARSOS_YIN
2.87927,208.88356,0.9474,TARSOS_YIN
2.90249,212.56421,0.97582,TARSOS_YIN
2.92571,216.01295,0.98243,TARSOS_YIN
2.94893,222.4613,0.95635,TARSOS_YIN
2.97215,228.64359,0.97128,TARSOS_YIN
2.99537,233.79222,0.97981,TARSOS_YIN
3.01859,237.23785,0.97511,TARSOS_YIN
3.04181,234.78305,0.97667,TARSOS_YIN
3.06503,231.70784,0.98981,TARSOS_YIN
3.08825,232.50696,0.99071,TARSOS_YIN
3.11147,233.28714,0.99331,TARSOS_YIN
3.13469,233.28925,0.99463,TARSOS_YIN
3.15791,235.08894,0.99462,TARSOS_YIN
3.18113,233.53033,0.99415,TARSOS_YIN
3.20435,232.94855,0.99592,TARSOS_YIN
3.22757,234.08444,0.99412,TARSOS_YIN
3.25079,234.91051,0.99346,TARSOS_YIN
3.27401,235.24864,0.99424,TARSOS_YIN
3.29723,234.91002,0.9949,TARSOS_YIN
