Start(s),Pitch(Hz),Probability[0-1.0],Source
0,880.1684,0.9999,TARSOS_YIN
0.04644,880.16833,0.9999,TARSOS_YIN
0.06966,880.16876,0.9999,TARSOS_YIN
0.09288,880.17072,0.9999,TARSOS_YIN
0.1161,880.17358,0.9999,TARSOS_YIN
0.13932,880.17487,0.9999,TARSOS_YIN
0.16254,880.17413,0.9999,TARSOS_YIN
0.18576,880.17175,0.9999,TARSOS_YIN
0.20898,880.16901,0.9999,TARSOS_YIN
0.2322,880.16797,0.9999,TARSOS_YIN
0.25542,880.1698,0.9999,TARSOS_YIN
0.27864,880.17224,0.9999,TARSOS_YIN
0.30186,880.17432,0.9999,TARSOS_YIN
0.32508,880.17493,0.9999,TARSOS_YIN
0.3483,880.17291,0.9999,TARSOS_YIN
0.37152,880.17053,0.9999,TARSOS_YIN
0.39474,880.16833,0.9999,TARSOS_YIN
0.41796,880.16858,0.9999,TARSOS_YIN
0.44118,880.17065,0.9999,TARSOS_YIN
0.4644,880.17352,0.9999,TARSOS_YIN
0.48762,880.17487,0.9999,TARSOS_YIN
0.51084,880.17413,0.9999,TARSOS_YIN
0.53406,880.17188,0.9999,TARSOS_YIN
0.55728,880.16925,0.9999,TARSOS_YIN
0.5805,880.16803,0.9999,TARSOS_YIN
0.60372,880.16943,0.9999,TARSOS_YIN
0.62694,880.17206,0.9999,TARSOS_YIN
0.65016,880.17432,0.9999,TARSOS_YIN
0.67338,880.17493,0.9999,TARSOS_YIN
0.6966,880.17322,0.9999,TARSOS_YIN
0.71982,880.17053,0.9999,TARSOS_YIN
0.74304,880.16821,0.9999,TARSOS_YIN
0.76626,880.16858,0.9999,TARSOS_YIN
0.78948,880.17053,0.9999,TARSOS_YIN
0.8127,880.1734,0.9999,TARSOS_YIN
0.83592,880.17493,0.9999,TARSOS_YIN
0.85914,880.17426,0.9999,TARSOS_YIN
0.88236,880.17163,0.9999,TARSOS_YIN
0.90558,880.16943,0.9999,TARSOS_YIN
0.9288,880.16821,0.9999,TARSOS_YIN
0.95202,880.16919,0.9999,TARSOS_YIN
0.97524,880.172,0.9999,TARSOS_YIN
0.99846,880.17426,0.9999,TARSOS_YIN
1.02168,880.17499,0.9999,TARSOS_YIN
1.0449,880.17334,0.9999,TARSOS_YIN
1.06812,880.17053,0.9999,TARSOS_YIN
1.09134,880.16846,0.9999,TARSOS_YIN
1.11456,880.16852,0.9999,TARSOS_YIN
1.13778,880.17047,0.9999,TARSOS_YIN
1.161,880.1731,0.9999,TARSOS_YIN
1.18422,880.17493,0.9999,TARSOS_YIN
1.20744,880.1745,0.9999,TARSOS_YIN
1.23066,880.17188,0.9999,TARSOS_YIN
1.25388,880.16943,0.9999,TARSOS_YIN
1.2771,880.16821,0.9999,TARSOS_YIN
1.30032,880.16919,0.9999,TARSOS_YIN
