Start(s),Pitch(Hz),Probability[0-1.0],Source
0.97524,238.47653,0.87824,TARSOS_YIN
0.99846,245.81677,0.93451,TARSOS_YIN
1.02168,252.97171,0.89558,TARSOS_YIN
1.04490,266.65054,0.90248,TARSOS_YIN
1.06812,272.76099,0.87940,TARSOS_YIN
1.09134,280.27051,0.91197,TARSOS_YIN
1.11456,283.78720,0.91342,TARSOS_YIN
1.13778,282.58875,0.92690,TARSOS_YIN
1.16100,279.95712,0.92676,TARSOS_YIN
1.18422,276.62048,0.92125,TARSOS_YIN
1.20744,272.03201,0.95744,TARSOS_YIN
1.23066,272.41080,0.93910,TARSOS_YIN
1.25388,275.29767,0.94493,TARSOS_YIN
1.27710,278.62329,0.92791,TARSOS_YIN
1.30032,285.43161,0.87440,TARSOS_YIN
1.32354,289.96207,0.96265,TARSOS_YIN
1.34676,298.62012,0.96181,TARSOS_YIN
1.36998,307.76456,0.96397,TARSOS_YIN
1.39320,315.78265,0.96375,TARSOS_YIN
1.41642,326.02039,0.92836,TARSOS_YIN
1.43964,343.16223,0.93426,TARSOS_YIN
1.46286,352.67307,0.93616,TARSOS_YIN
1.48608,357.45728,0.96558,TARSOS_YIN
1.50930,358.65826,0.98330,TARSOS_YIN
1.53252,357.63498,0.98789,TARSOS_YIN
1.55574,357.75262,0.98534,TARSOS_YIN
1.57896,357.23425,0.98185,TARSOS_YIN
1.60218,359.03177,0.98070,TARSOS_YIN
1.62540,361.67307,0.97185,TARSOS_YIN
1.64862,364.92145,0.98498,TARSOS_YIN
1.67184,364.34802,0.98402,TARSOS_YIN
1.69506,365.78891,0.98841,TARSOS_YIN
1.71828,364.16092,0.98779,TARSOS_YIN
1.74150,359.48480,0.98532,TARSOS_YIN
1.76472,358.21417,0.97943,TARSOS_YIN
1.78794,358.31152,0.98177,TARSOS_YIN
1.81116,358.93787,0.98341,TARSOS_YIN
1.83438,357.87787,0.98324,TARSOS_YIN
1.85760,353.61789,0.94273,TARSOS_YIN
