Start(s),Pitch(Hz),Probability[0-1.0],Source
13.18893,284.43768,0.99050,TARSOS_YIN
13.21215,288.22275,0.99813,TARSOS_YIN
13.32825,315.93579,0.98377,TARSOS_YIN
13.35147,326.56665,0.97728,TARSOS_YIN
13.37469,329.14798,0.98795,TARSOS_YIN
13.39791,315.80426,0.96419,TARSOS_YIN
13.60689,321.28564,0.98597,TARSOS_YIN
13.63011,318.52814,0.99365,TARSOS_YIN
13.65333,313.39709,0.97364,TARSOS_YIN
13.67655,307.64462,0.99633,TARSOS_YIN
13.69977,307.50195,0.99686,TARSOS_YIN
13.72299,310.16599,0.99723,TARSOS_YIN
13.74621,313.43396,0.99665,TARSOS_YIN
13.76943,318.23828,0.99417,TARSOS_YIN
13.79265,321.34885,0.99877,TARSOS_YIN
13.81587,319.14783,0.99917,TARSOS_YIN
13.83909,321.32681,0.99828,TARSOS_YIN
13.86231,323.02933,0.99674,TARSOS_YIN
13.88553,326.27438,0.99688,TARSOS_YIN
13.90875,328.55203,0.99862,TARSOS_YIN
13.93197,327.75897,0.99734,TARSOS_YIN
13.95519,330.19843,0.99759,TARSOS_YIN
13.97841,329.93750,0.99784,TARSOS_YIN
14.00163,326.74329,0.99746,TARSOS_YIN
14.02485,323.00522,0.99561,TARSOS_YIN
14.04807,319.79120,0.99799,TARSOS_YIN
14.07129,320.33655,0.99460,TARSOS_YIN
14.09451,323.43042,0.99775,TARSOS_YIN
14.11773,327.14545,0.99344,TARSOS_YIN
14.14095,335.21478,0.98753,TARSOS_YIN
14.21061,329.18954,0.98357,TARSOS_YIN
14.23383,318.54306,0.98811,TARSOS_YIN
14.25705,314.26117,0.99753,TARSOS_YIN
14.28027,317.67581,0.99360,TARSOS_YIN
14.30349,326.48883,0.98739,TARSOS_YIN
14.37315,328.28864,0.99514,TARSOS_YIN
14.39637,321.43839,0.99267,TARSOS_YIN
14.41959,314.96613,0.99794,TARSOS_YIN
14.44281,316.59326,0.99689,TARSOS_YIN
14.46603,323.55899,0.98833,TARSOS_YIN
14.48925,333.35526,0.99459,TARSOS_YIN
14.55891,323.63220,0.99545,TARSOS_YIN
14.58213,320.03983,0.99823,TARSOS_YIN
14.60535,322.64368,0.99214,TARSOS_YIN
14.62857,331.88766,0.99191,TARSOS_YIN
14.74467,311.66455,0.99038,TARSOS_YIN
14.76789,309.57693,0.99586,TARSOS_YIN
14.79111,317.44519,0.98356,TARSOS_YIN
14.81433,333.53506,0.97467,TARSOS_YIN
14.93043,295.02448,0.97452,TARSOS_YIN
14.95365,288.44824,0.99249,TARSOS_YIN
14.97687,288.53745,0.99815,TARSOS_YIN
15.00009,290.03241,0.99773,TARSOS_YIN
15.02331,291.56940,0.99854,TARSOS_YIN
15.04653,291.05905,0.99723,TARSOS_YIN
15.06975,291.08725,0.99761,TARSOS_YIN
15.09297,291.36383,0.99854,TARSOS_YIN
15.11619,292.37726,0.99819,TARSOS_YIN
15.13941,293.59741,0.99853,TARSOS_YIN
15.16263,293.96240,0.99932,TARSOS_YIN
15.18585,292.37363,0.99916,TARSOS_YIN
15.20907,291.31650,0.99792,TARSOS_YIN
15.23229,289.15051,0.99693,TARSOS_YIN
15.25551,287.76117,0.99847,TARSOS_YIN
15.27873,289.97906,0.99754,TARSOS_YIN
15.30195,290.90662,0.99802,TARSOS_YIN
15.32517,290.40945,0.99911,TARSOS_YIN
15.34839,291.59619,0.99812,TARSOS_YIN
15.37161,291.87936,0.99872,TARSOS_YIN
15.39483,291.33191,0.99821,TARSOS_YIN
15.41805,291.43677,0.99838,TARSOS_YIN
15.44127,290.69147,0.99833,TARSOS_YIN
15.46449,288.49399,0.99743,TARSOS_YIN
15.48771,286.15659,0.99906,TARSOS_YIN
15.51093,286.81552,0.99881,TARSOS_YIN
15.53415,286.39178,0.99862,TARSOS_YIN
15.55737,284.00546,0.99704,TARSOS_YIN
15.58059,279.95490,0.99335,TARSOS_YIN
15.60381,275.58859,0.99490,TARSOS_YIN
15.62703,271.66138,0.99064,TARSOS_YIN
15.65025,266.49692,0.98988,TARSOS_YIN
15.67347,262.66956,0.99647,TARSOS_YIN
15.69669,260.13477,0.99574,TARSOS_YIN
15.71991,258.20197,0.99766,TARSOS_YIN
15.74313,258.14316,0.99765,TARSOS_YIN
15.76635,257.81296,0.99597,TARSOS_YIN
15.78957,254.62306,0.99466,TARSOS_YIN
15.81279,250.65778,0.99397,TARSOS_YIN
15.83601,246.75203,0.99247,TARSOS_YIN
15.85923,243.03922,0.98890,TARSOS_YIN
15.88245,240.83769,0.99788,TARSOS_YIN
15.90567,242.45685,0.99553,TARSOS_YIN
15.92889,246.00974,0.98841,TARSOS_YIN
15.95211,252.04199,0.99064,TARSOS_YIN
15.97533,253.78972,0.99758,TARSOS_YIN
15.99855,249.99184,0.99203,TARSOS_YIN
16.02177,246.55115,0.99393,TARSOS_YIN
16.04499,241.40466,0.98474,TARSOS_YIN
16.06821,237.63911,0.99566,TARSOS_YIN
16.09143,240.57207,0.98627,TARSOS_YIN
16.11465,248.76402,0.97425,TARSOS_YIN
16.13787,256.33154,0.98691,TARSOS_YIN
16.16109,259.20627,0.99699,TARSOS_YIN
16.18431,254.91014,0.98129,TARSOS_YIN
16.20753,246.45689,0.97569,TARSOS_YIN
16.23075,237.53120,0.97916,TARSOS_YIN
16.25397,233.02551,0.99744,TARSOS_YIN
16.27719,236.55952,0.97982,TARSOS_YIN
16.30041,244.64192,0.96529,TARSOS_YIN
16.32363,254.49832,0.97988,TARSOS_YIN
16.34685,256.56354,0.99179,TARSOS_YIN
16.37007,248.41812,0.95835,TARSOS_YIN
16.39329,235.92555,0.93226,TARSOS_YIN
16.41651,221.99379,0.94532,TARSOS_YIN
16.43973,214.83401,0.97900,TARSOS_YIN
16.46295,213.24896,0.99200,TARSOS_YIN
16.48617,212.04918,0.99127,TARSOS_YIN
