Start(s),Pitch(Hz),Probability[0-1.0],Source
1.30032,264.14941,0.89971,TARSOS_YIN
1.32354,249.06769,0.93056,TARSOS_YIN
1.34676,248.64716,0.99019,TARSOS_YIN
1.36998,245.25778,0.99081,TARSOS_YIN
1.3932,251.56985,0.99219,TARSOS_YIN
1.41642,259.79315,0.98401,TARSOS_YIN
1.43964,263.33493,0.98221,TARSOS_YIN
1.46286,266.19141,0.99495,TARSOS_YIN
1.48608,267.69055,0.99698,TARSOS_YIN
1.5093,267.79828,0.99565,TARSOS_YIN
1.53252,262.82407,0.99577,TARSOS_YIN
1.55574,261.07004,0.9931,TARSOS_YIN
1.57896,263.89423,0.99401,TARSOS_YIN
1.60218,263.99438,0.99642,TARSOS_YIN
1.6254,263.89905,0.99548,TARSOS_YIN
1.64862,261.42194,0.99491,TARSOS_YIN
1.67184,257.69324,0.99454,TARSOS_YIN
1.69506,256.3851,0.99319,TARSOS_YIN
1.71828,260.94531,0.99563,TARSOS_YIN
1.7415,264.12283,0.98926,TARSOS_YIN
1.76472,263.77594,0.98674,TARSOS_YIN
1.90404,260.95563,0.98018,TARSOS_YIN
1.92726,260.52582,0.99562,TARSOS_YIN
1.95048,256.82742,0.99162,TARSOS_YIN
1.9737,252.61804,0.99256,TARSOS_YIN
1.99692,250.84888,0.99603,TARSOS_YIN
2.02014,253.46092,0.98795,TARSOS_YIN
2.04336,257.59412,0.99243,TARSOS_YIN
2.06658,259.33749,0.98841,TARSOS_YIN
2.0898,262.85089,0.99682,TARSOS_YIN
2.11302,263.27277,0.99353,TARSOS_YIN
2.13624,259.69629,0.99359,TARSOS_YIN
2.15946,256.38196,0.99756,TARSOS_YIN
2.18268,254.47307,0.99483,TARSOS_YIN
2.2059,253.62489,0.99628,TARSOS_YIN
2.22912,257.75116,0.99496,TARSOS_YIN
2.25234,257.64835,0.96095,TARSOS_YIN
2.41488,324.173,0.9224,TARSOS_YIN
2.4381,345.2222,0.98423,TARSOS_YIN
2.46132,351.06674,0.99328,TARSOS_YIN
2.48454,353.53317,0.99234,TARSOS_YIN
2.50776,361.93335,0.98059,TARSOS_YIN
2.53098,378.67569,0.9566,TARSOS_YIN
2.55419,378.54178,0.97813,TARSOS_YIN
2.57741,378.99084,0.99048,TARSOS_YIN
2.60063,379.53683,0.989,TARSOS_YIN
2.62385,377.57809,0.99151,TARSOS_YIN
2.64707,375.29529,0.9864,TARSOS_YIN
2.67029,381.37177,0.98614,TARSOS_YIN
2.69351,386.6358,0.98176,TARSOS_YIN
2.71673,391.10236,0.97873,TARSOS_YIN
2.73995,395.99487,0.98691,TARSOS_YIN
2.76317,394.14359,0.9918,TARSOS_YIN
