Start(s),Pitch(Hz),Probability[0-1.0],Source
0.11610,438.37781,0.84450,TARSOS_YIN
0.32508,261.60635,0.90185,TARSOS_YIN
0.34830,262.03903,0.99334,TARSOS_YIN
0.37152,262.61026,0.99903,TARSOS_YIN
0.39474,262.76666,0.99830,TARSOS_YIN
0.41796,261.20660,0.99830,TARSOS_YIN
0.44118,261.45810,0.99867,TARSOS_YIN
0.46440,261.73959,0.99631,TARSOS_YIN
0.48762,261.34622,0.99521,TARSOS_YIN
0.51084,261.78909,0.99826,TARSOS_YIN
0.53406,261.89096,0.99738,TARSOS_YIN
0.55728,261.73734,0.99824,TARSOS_YIN
0.58050,261.90878,0.99859,TARSOS_YIN
0.60372,261.74796,0.99621,TARSOS_YIN
0.62694,261.60941,0.99767,TARSOS_YIN
0.65016,262.22162,0.99741,TARSOS_YIN
0.67338,262.10361,0.99254,TARSOS_YIN
0.69660,262.81989,0.98204,TARSOS_YIN
0.71982,262.49078,0.98423,TARSOS_YIN
0.74304,262.47424,0.99682,TARSOS_YIN
0.76626,262.80807,0.98475,TARSOS_YIN
0.78948,262.61441,0.98330,TARSOS_YIN
0.81270,262.62839,0.98146,TARSOS_YIN
0.83592,262.78329,0.96113,TARSOS_YIN
0.85914,265.49286,0.92608,TARSOS_YIN
0.88236,266.82639,0.96852,TARSOS_YIN
0.90558,265.64185,0.99103,TARSOS_YIN
0.92880,265.94934,0.96429,TARSOS_YIN
0.95202,267.29187,0.84933,TARSOS_YIN
0.99846,264.47076,0.82864,TARSOS_YIN
1.02168,260.82416,0.98035,TARSOS_YIN
1.04490,262.91037,0.99800,TARSOS_YIN
1.06812,262.80176,0.99831,TARSOS_YIN
1.09134,261.33923,0.99830,TARSOS_YIN
1.11456,261.41080,0.99844,TARSOS_YIN
1.13778,261.73032,0.99722,TARSOS_YIN
1.16100,261.46243,0.99459,TARSOS_YIN
1.18422,261.23770,0.99656,TARSOS_YIN
1.20744,262.16351,0.99669,TARSOS_YIN
1.23066,262.02704,0.99573,TARSOS_YIN
1.25388,261.36267,0.99683,TARSOS_YIN
1.27710,261.95599,0.99553,TARSOS_YIN
1.30032,261.85739,0.99540,TARSOS_YIN
1.32354,261.65201,0.99395,TARSOS_YIN
1.34676,262.38898,0.98925,TARSOS_YIN
1.36998,261.81851,0.98093,TARSOS_YIN
1.39320,263.07388,0.96922,TARSOS_YIN
1.41642,262.22449,0.98939,TARSOS_YIN
1.43964,262.84167,0.98530,TARSOS_YIN
1.46286,262.39523,0.98542,TARSOS_YIN
1.48608,262.61032,0.97732,TARSOS_YIN
1.50930,262.77878,0.98121,TARSOS_YIN
1.53252,262.28354,0.99006,TARSOS_YIN
